id,name,now_cost,position,team,ep_this,influence_rank,news,bonus,expected_goal_involvements_per_90,web_name,points_per_game_rank_type,creativity_rank_type,form_rank,event_points,total_points,goals_conceded,value_season,cost_change_start,goals_scored,corners_and_indirect_freekicks_order,form_rank_type,in_dreamteam,ict_index_rank,transfers_in_event,saves,expected_assists,now_cost_rank,selected_rank,transfers_in,expected_goal_involvements,news_added,penalties_order,form,minutes,threat,now_cost_rank_type,ict_index,expected_assists_per_90,yellow_cards,starts_per_90,cost_change_event_fall,chance_of_playing_this_round,assists,threat_rank,transfers_out_event,penalties_missed,threat_rank_type,expected_goals_conceded,chance_of_playing_next_round,expected_goals_per_90,own_goals,transfers_out,goals_conceded_per_90,ict_index_rank_type,expected_goals,dreamteam_count,points_per_game,cost_change_start_fall,penalties_saved,value_form,bps,creativity_rank,influence_rank_type,red_cards,selected_by_percent,selected_rank_type,clean_sheets_per_90,starts,influence,ep_next,cost_change_event,creativity,saves_per_90,clean_sheets,direct_freekicks_order,status,points_per_game_rank,expected_goals_conceded_per_90
337,Elliot Thorpe,45,MID,Luton,0.0,627,Joined Shrewsbury Town on a season-long loan,0,0.0,Thorpe,254,247,575,0,0,0,0.0,0,0,,213,False,633,0,0,0.00,391,712,14,0.00,2023-07-13T12:00:04.224388Z,,0.0,0,0.0,228,0.0,0.0,0,0.0,0,0.0,0,612,5,0,242,0.00,0.0,0.0,0,564,0.0,250,0.00,0,0.0,0,0,0.0,0,623,246,0,0.0,297,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,639,0.0
338,Jack Walton,40,GKP,Luton,0.0,504,Joined Dundee United on a season-long loan - Expected back 01 Jul,0,0.0,Walton,57,41,417,0,0,0,0.0,0,0,,56,False,511,0,0,0.00,643,674,0,0.00,2023-07-11T09:00:04.234257Z,,0.0,0,0.0,48,0.0,0.0,0,0.0,0,0.0,0,465,10,0,34,0.00,0.0,0.0,0,692,0.0,57,0.00,0,0.0,0,0,0.0,0,489,57,0,0.0,81,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,515,0.0
339,Louie Watson,44,MID,Luton,0.0,591,Season-long loan to Charlton,0,0.0,Watson,233,225,535,0,0,0,0.0,-1,0,,190,False,598,0,0,0.00,519,354,3951,0.00,2023-09-01T21:49:21.681463Z,,0.0,0,0.0,289,0.0,0.0,0,0.0,0,0.0,0,568,299,0,219,0.00,0.0,0.0,0,26485,0.0,229,0.00,0,0.0,1,0,0.0,0,582,224,0,0.1,110,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,604,0.0
340,Cauley Woodrow,44,FWD,Luton,0.0,362,Calf injury - Expected back 02 Dec,0,1.28,Woodrow,44,37,514,0,7,2,1.6,-1,0,,47,False,324,587,0,0.44,483,183,121537,1.05,2023-11-10T17:30:09.674003Z,3.0,0.0,74,32.0,89,10.6,0.54,0,0.0,0,0.0,0,249,5969,0,45,1.60,0.0,0.74,0,102989,2.43,42,0.61,0,1.0,1,0,0.0,29,229,39,0,1.0,29,0.0,0,26.0,0.0,0,49.3,0.0,0,,i,377,1.95
393,Teden Mengi,39,DEF,Luton,0.7,210,,0,0.03,Mengi,106,141,178,2,9,9,2.3,-1,0,,59,False,300,9243,0,0.03,733,169,125245,0.14,,,1.7,515,18.0,233,13.1,0.01,0,0.87,0,,0,298,2505,0,96,12.19,,0.02,0,41868,1.57,105,0.11,0,1.3,1,0,0.4,65,386,86,0,1.1,67,0.0,5,108.4,1.2,0,3.4,0.0,0,,a,322,2.13
553,Ryan Giles,43,DEF,Luton,-0.3,319,,0,0.13,Giles,129,34,273,1,6,8,1.4,-2,0,2.0,92,False,286,77,0,0.35,592,400,8704,0.41,,,0.7,283,17.0,150,15.1,0.11,0,0.95,0,,0,305,169,0,100,7.44,,0.02,0,15994,2.54,100,0.06,0,1.0,2,0,0.2,48,146,122,0,0.1,156,0.0,3,43.4,0.2,0,89.8,0.0,0,,a,370,2.37
575,Tom Lockyer,43,DEF,Luton,-0.3,77,,1,0.1,Lockyer,86,85,269,1,20,20,4.7,-2,1,,88,False,147,977,0,0.21,571,294,26663,1.04,2023-09-28T17:00:09.592247Z,,0.7,945,70.0,132,32.8,0.02,3,1.05,0,100.0,1,156,779,0,27,23.61,100.0,0.08,1,21129,1.9,39,0.83,0,1.8,2,0,0.2,135,272,25,0,0.3,114,0.0,11,222.0,0.2,0,35.7,0.0,0,,a,265,2.25
582,Pelly Ruddock Mpanzu,47,MID,Luton,-0.3,324,,0,0.31,Mpanzu,138,116,287,1,16,9,3.4,-3,0,,135,False,293,42,0,1.31,316,542,2577,1.75,,,0.7,502,38.0,206,14.1,0.23,0,0.9,1,,0,234,79,0,123,12.99,,0.08,0,5563,1.61,133,0.44,0,1.5,3,0,0.1,48,200,140,0,0.0,195,0.0,5,42.4,0.2,-1,61.3,0.0,0,,a,303,2.33
586,Tahith Chong,48,MID,Luton,1.7,256,,0,0.18,Chong,120,137,123,1,18,12,3.8,-2,1,,56,False,236,395,0,0.24,301,432,9501,1.08,,,2.7,525,91.0,198,20.9,0.04,2,0.86,0,,0,126,267,0,77,12.55,,0.14,0,14786,2.06,114,0.84,0,1.8,2,0,0.6,44,250,103,0,0.1,140,0.0,5,79.2,2.2,0,42.5,0.0,0,,a,272,2.15
602,Issa Kaboré,40,DEF,Luton,2.0,166,,3,0.17,Kaboré,74,15,88,1,23,14,5.8,0,0,,24,False,151,14612,0,1.19,685,70,529302,1.41,,,3.0,777,48.0,207,32.7,0.14,4,1.04,0,,2,201,7330,0,48,16.65,,0.03,0,503360,1.62,40,0.22,0,2.1,0,0,0.8,108,78,67,0,6.0,25,0.0,9,135.6,2.5,0,144.2,0.0,0,,a,223,1.93
