id,name,now_cost,position,team,ep_this,influence_rank,news,bonus,expected_goal_involvements_per_90,web_name,points_per_game_rank_type,creativity_rank_type,form_rank,event_points,total_points,goals_conceded,value_season,cost_change_start,goals_scored,corners_and_indirect_freekicks_order,form_rank_type,in_dreamteam,ict_index_rank,transfers_in_event,saves,expected_assists,now_cost_rank,selected_rank,transfers_in,expected_goal_involvements,news_added,penalties_order,form,minutes,threat,now_cost_rank_type,ict_index,expected_assists_per_90,yellow_cards,starts_per_90,cost_change_event_fall,chance_of_playing_this_round,assists,threat_rank,transfers_out_event,penalties_missed,threat_rank_type,expected_goals_conceded,chance_of_playing_next_round,expected_goals_per_90,own_goals,transfers_out,goals_conceded_per_90,ict_index_rank_type,expected_goals,dreamteam_count,points_per_game,cost_change_start_fall,penalties_saved,value_form,bps,creativity_rank,influence_rank_type,red_cards,selected_by_percent,selected_rank_type,clean_sheets_per_90,starts,influence,ep_next,cost_change_event,creativity,saves_per_90,clean_sheets,direct_freekicks_order,status,points_per_game_rank,expected_goals_conceded_per_90
1,Folarin Balogun,44,FWD,Arsenal,0.0,593,Transferred to Monaco,0,0.0,Balogun,63,60,537,0,0,0,0.0,-1,0,,50,False,600,0,0,0.00,523,304,10024,0.00,2023-08-31T08:55:15.272751Z,,0.0,0,0.0,92,0.0,0.0,0,0.0,0,0.0,0,570,376,0,59,0.00,0.0,0.0,0,59392,0.0,59,0.00,0,0.0,1,0,0.0,0,584,57,0,0.2,47,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,606,0.0
2,Cédric Alves Soares,39,DEF,Arsenal,1.0,456,,0,0.0,Cédric,156,157,362,0,0,0,0.0,-1,0,,115,False,462,1015,0,0.00,712,249,27299,0.00,,,0.0,0,0.0,226,0.0,0.0,0,0.0,0,,0,412,1078,0,147,0.00,,0.0,0,29207,0.0,159,0.00,0,0.0,1,0,0.0,0,437,160,0,0.4,98,0.0,0,0.0,0.5,0,0.0,0.0,0,,a,467,0.0
3,Mohamed Elneny,44,MID,Arsenal,2.3,441,,0,0.0,M.Elneny,31,208,213,0,4,0,0.9,-1,0,,100,False,443,478,0,0.00,491,401,11532,0.00,2023-08-11T13:00:06.079379Z,,1.3,1,2.0,281,0.4,0.0,0,0.0,0,100.0,1,395,553,0,197,0.00,100.0,0.0,0,14306,0.0,207,0.00,0,4.0,1,0,0.3,12,417,206,0,0.1,129,0.0,0,1.8,1.8,0,0.5,0.0,0,,a,57,0.0
4,Fábio Ferreira Vieira,54,MID,Arsenal,2.7,255,Suspended until 09 Dec,0,0.59,Fábio Vieira,78,112,200,-2,21,2,3.9,-1,1,5.0,93,False,225,44,0,0.35,126,396,11352,1.55,2023-11-12T02:00:08.552136Z,4.0,1.7,236,77.0,81,21.9,0.13,0,0.76,0,100.0,3,149,1221,0,91,1.48,0.0,0.46,0,15849,0.76,110,1.20,0,2.6,1,0,0.3,62,190,102,1,0.1,128,0.38,2,79.4,0.0,0,63.6,0.0,1,,s,179,0.56
5,Gabriel dos Santos Magalhães,48,DEF,Arsenal,2.3,164,,2,0.05,Gabriel,49,102,226,2,29,7,6.0,-2,0,,77,False,234,27036,0,0.11,302,23,862501,0.45,2023-09-30T23:00:07.672676Z,,1.3,744,46.0,35,21.1,0.01,1,0.97,0,100.0,0,208,22061,0,52,7.50,100.0,0.04,0,2278215,0.85,73,0.34,0,2.9,2,0,0.3,142,304,65,0,14.9,7,0.36,8,137.8,1.8,0,26.6,0.0,3,,a,145,0.91
6,Kai Havertz,71,MID,Arsenal,2.7,235,,0,0.38,Havertz,100,64,203,1,25,6,3.5,-4,1,,96,False,112,1453,0,0.69,28,146,38829,2.99,,3.0,1.7,711,147.0,16,37.3,0.09,4,1.01,0,,1,67,2966,0,41,6.22,,0.29,0,348694,0.76,64,2.30,0,2.1,4,0,0.2,64,89,93,0,1.5,44,0.38,8,96.4,2.2,0,129.8,0.0,3,,a,230,0.79
8,Gabriel Fernando de Jesus,78,FWD,Arsenal,0.2,276,,2,0.5,G.Jesus,24,33,737,0,18,4,2.3,-2,1,,94,False,194,2856,0,0.30,15,132,403951,2.01,2023-10-24T23:30:07.618920Z,,0.0,362,144.0,6,26.9,0.07,2,0.99,0,25.0,1,70,6806,0,25,4.22,100.0,0.43,0,520372,0.99,30,1.71,0,2.6,2,0,0.0,51,210,33,0,1.9,22,0.5,4,67.8,0.5,0,58.7,0.0,2,,a,182,1.05
9,Jorge Luiz Frello Filho,53,MID,Arsenal,2.3,304,,0,0.09,Jorginho,149,111,232,2,13,6,2.5,-2,0,,107,False,309,489,0,0.30,132,325,7386,0.39,2023-08-07T15:30:05.168632Z,,1.3,381,9.0,83,12.3,0.07,1,0.94,0,100.0,0,356,404,0,181,4.68,100.0,0.02,0,15119,1.42,139,0.09,0,1.4,2,0,0.2,60,187,130,0,0.2,97,0.24,4,49.6,1.8,0,64.7,0.0,1,,a,318,1.11
10,Jakub Kiwior,43,DEF,Arsenal,3.3,353,,0,0.18,Kiwior,73,137,129,1,9,2,2.1,-2,0,,43,False,373,151,0,0.05,597,422,3738,0.37,,,2.3,182,16.0,153,5.3,0.02,0,0.99,0,,0,314,217,0,105,0.87,,0.16,0,7407,0.99,134,0.32,0,2.2,2,0,0.5,42,376,136,0,0.1,163,0.49,2,29.4,2.8,0,6.4,0.0,1,,a,213,0.43
11,Marcus Oliveira Alencar,45,MID,Arsenal,0.0,652,Season long loan to FC Nantes,0,0.0,Marquinhos,269,263,601,0,0,0,0.0,0,0,,230,False,658,0,0,0.00,426,515,819,0.00,2023-08-14T03:57:12.475590Z,,0.0,0,0.0,246,0.0,0.0,0,0.0,0,0.0,0,638,63,0,258,0.00,0.0,0.0,0,11432,0.0,266,0.00,0,0.0,0,0,0.0,0,648,262,0,0.0,179,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,662,0.0
12,Gabriel Martinelli Silva,78,MID,Arsenal,3.3,130,,0,0.34,Martinelli,55,17,145,2,31,8,4.0,-2,1,2.0,63,False,27,19610,0,1.53,16,53,746583,2.75,2023-11-12T02:00:08.588141Z,,2.3,721,268.0,9,71.7,0.19,0,1.12,0,100.0,2,29,45486,0,16,5.89,100.0,0.15,0,1414432,1.0,19,1.22,0,3.1,2,0,0.3,137,22,52,0,7.4,18,0.25,9,163.0,2.8,0,287.0,0.0,2,3.0,a,129,0.74
13,Eddie Nketiah,57,FWD,Arsenal,5.8,121,,5,0.41,Nketiah,10,16,14,1,50,5,8.8,2,5,,3,False,59,58718,0,0.31,84,38,1387989,3.45,2023-11-09T08:30:08.250179Z,,6.7,766,272.0,27,53.4,0.04,2,1.06,0,75.0,2,27,60965,0,13,5.63,100.0,0.37,0,777339,0.59,13,3.14,1,4.2,-2,0,1.2,159,145,14,0,10.2,6,0.7,9,179.4,7.2,0,90.6,0.0,6,,a,52,0.66
14,Martin Ødegaard,83,MID,Arsenal,0.8,81,Hip injury - 75% chance of playing,6,0.43,Ødegaard,10,27,739,0,48,7,5.8,-2,3,3.0,320,False,37,2682,0,1.16,10,27,1077907,3.77,2023-11-04T21:00:08.152623Z,2.0,0.0,789,197.0,7,65.3,0.13,1,1.03,1,75.0,2,44,110383,0,27,7.61,75.0,0.3,0,2100598,0.8,26,2.61,1,5.3,2,0,0.0,161,34,31,0,13.9,10,0.46,9,217.4,0.4,-1,239.2,0.0,4,1.0,d,17,0.87
15,Thomas Partey,48,MID,Arsenal,0.0,295,Muscle injury - Unknown return date,0,0.11,Thomas,119,119,655,0,7,2,1.5,-2,0,,266,False,303,17,0,0.21,290,346,8484,0.28,2023-10-25T12:00:07.465521Z,,0.0,250,15.0,190,13.1,0.08,0,1.08,0,0.0,0,321,419,0,162,2.53,0.0,0.03,0,35595,0.72,137,0.07,0,1.8,2,0,0.0,58,204,124,0,0.2,105,0.36,3,55.8,0.0,0,60.0,0.0,1,,i,271,0.91
16,Nicolas Pépé,49,MID,Arsenal,0.0,701,Permanent move to Trabzonspor,0,0.0,Pepe,298,296,669,0,0,0,0.0,-1,0,,277,False,703,0,0,0.00,243,517,667,0.00,2023-09-11T14:13:51.462896Z,,0.0,0,0.0,155,0.0,0.0,0,0.0,0,0.0,0,696,35,0,294,0.00,0.0,0.0,0,6189,0.0,298,0.00,0,0.0,1,0,0.0,0,699,297,0,0.0,180,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,704,0.0
17,Aaron Ramsdale,47,GKP,Arsenal,1.0,301,,0,0.0,Ramsdale,15,78,645,0,11,4,2.3,-3,0,,83,False,376,8065,5,0.01,325,49,221655,0.01,,,0.0,360,0.0,12,5.1,0.0,0,1.0,0,,0,676,20443,0,76,3.73,,0.0,0,1254561,1.0,23,0.00,0,2.8,3,0,0.0,55,683,23,0,7.6,9,0.25,4,51.0,0.5,0,0.0,1.25,1,,a,154,0.93
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,0.0,489,Season long loan to Cardiff City,0,0.0,Rúnarsson,52,36,401,0,0,0,0.0,0,0,,51,False,496,0,0,0.00,627,412,990,0.00,2023-08-20T06:33:02.960208Z,,0.0,0,0.0,43,0.0,0.0,0,0.0,0,0.0,0,450,123,0,29,0.00,0.0,0.0,0,9734,0.0,52,0.00,0,0.0,0,0,0.0,0,474,52,0,0.1,59,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,500,0.0
19,Bukayo Saka,86,MID,Arsenal,4.0,13,,8,0.72,Saka,3,3,52,5,71,10,8.3,1,4,1.0,28,True,3,146407,0,3.33,7,2,2446096,7.48,2023-11-09T08:30:08.290130Z,1.0,4.3,945,351.0,5,111.3,0.32,1,1.05,0,75.0,6,14,48890,0,8,8.62,100.0,0.4,0,3261822,0.95,2,4.15,2,6.5,-1,0,0.5,264,4,5,0,50.6,1,0.38,11,338.2,4.8,0,424.0,0.0,4,,a,5,0.82
20,William Saliba,54,DEF,Arsenal,7.0,49,,5,0.1,Saliba,8,58,19,9,55,10,10.2,4,1,,5,True,128,255454,0,0.46,127,11,2228937,1.16,2023-10-09T08:30:07.861646Z,,6.0,1080,44.0,9,34.9,0.04,0,1.0,-1,100.0,1,216,10416,0,58,9.55,100.0,0.06,0,1206290,0.83,35,0.70,0,4.6,-4,0,1.1,250,218,14,0,30.9,3,0.42,12,249.8,6.5,1,53.8,0.0,5,,a,37,0.8
22,Emile Smith Rowe,53,MID,Arsenal,0.8,341,Knee injury - 25% chance of playing,0,0.73,Smith Rowe,95,174,169,0,9,0,1.7,-2,0,,76,False,336,16,0,0.05,141,403,4628,0.85,2023-11-02T11:00:07.493976Z,,2.0,104,41.0,90,9.1,0.04,0,0.87,0,25.0,1,223,389,0,117,0.17,25.0,0.69,0,15097,0.0,152,0.80,0,2.2,2,0,0.4,24,333,149,0,0.1,130,0.87,1,33.8,0.6,0,17.2,0.0,1,,d,221,0.15
24,Kieran Tierney,44,DEF,Arsenal,0.0,585,Season long loan to Real Sociedad,0,0.0,Tierney,225,227,526,0,0,0,0.0,-1,0,,210,False,592,0,0,0.00,503,399,2665,0.00,2023-08-29T07:46:59.686803Z,,0.0,0,0.0,104,0.0,0.0,0,0.0,0,0.0,0,561,123,0,225,0.00,0.0,0.0,0,27885,0.0,227,0.00,0,0.0,1,0,0.0,0,575,227,0,0.1,155,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,598,0.0
25,Takehiro Tomiyasu,45,DEF,Arsenal,4.7,261,,0,0.13,Tomiyasu,79,104,62,2,20,4,4.4,0,1,,17,False,289,4363,0,0.23,387,245,36556,0.61,2023-08-22T00:00:07.272418Z,,3.7,415,46.0,74,14.7,0.05,0,0.65,0,100.0,0,207,1513,0,51,4.77,100.0,0.08,0,25500,0.87,101,0.38,0,2.0,0,0,0.8,76,306,105,1,0.4,96,0.22,3,76.8,4.2,0,26.2,0.0,1,,a,238,1.03
26,Leandro Trossard,65,MID,Arsenal,6.0,135,,6,0.62,Trossard,25,69,35,13,35,3,5.4,-5,3,4.0,17,False,91,48270,0,1.05,46,122,184881,2.06,2023-10-09T08:30:07.911344Z,,5.0,300,151.0,28,43.7,0.32,0,0.9,0,100.0,1,65,5078,0,40,2.18,100.0,0.3,0,507747,0.9,57,1.01,2,4.4,5,0,0.8,118,95,54,0,2.3,35,0.3,3,158.2,5.5,0,127.3,0.0,1,,a,44,0.65
29,Benjamin White,58,DEF,Arsenal,3.7,69,Muscle injury - 75% chance of playing,7,0.13,White,6,11,125,0,53,9,9.1,3,1,,41,False,74,7469,0,0.82,75,26,1194389,1.38,2023-11-12T02:00:08.673390Z,,2.7,947,77.0,6,48.2,0.08,2,1.05,0,,1,151,184372,0,22,9.24,75.0,0.05,0,726347,0.86,13,0.56,2,4.8,-3,0,0.5,236,56,21,0,14.4,8,0.48,11,229.0,2.4,0,176.2,0.0,5,,d,29,0.88
30,Granit Xhaka,60,MID,Arsenal,0.0,735,Transferred to Bayer Leverkusen,0,0.0,Xhaka,319,319,724,0,0,0,0.0,0,0,,314,False,735,0,0,0.00,63,671,0,0.00,2023-07-11T08:41:07.159936Z,,0.0,0,0.0,39,0.0,0.0,0,0.0,0,0.0,0,735,7,0,319,0.00,0.0,0.0,0,1186,0.0,319,0.00,0,0.0,0,0,0.0,0,735,319,0,0.0,272,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,734,0.0
31,Oleksandr Zinchenko,50,DEF,Arsenal,7.3,137,,6,0.19,Zinchenko,13,13,17,10,44,6,8.8,0,1,,4,False,102,107853,0,1.00,192,57,471947,1.34,,,6.3,663,73.0,24,40.0,0.14,1,1.09,-1,,0,155,6563,0,26,5.52,,0.05,0,466142,0.81,24,0.34,1,4.0,0,0,1.3,191,63,49,0,7.0,17,0.54,8,157.8,6.8,1,170.2,0.0,4,,a,62,0.75
113,David Raya Martin,49,GKP,Arsenal,4.7,207,Ineligible to face his parent club club on 25/11. - Expected back 02 Dec,2,0.0,Raya,3,81,66,3,35,6,7.1,-1,0,,5,False,319,8417,12,0.00,236,85,364275,0.00,2023-11-13T01:00:08.923385Z,,3.7,720,0.0,8,11.1,0.0,0,1.0,0,,0,693,34706,0,80,5.82,0.0,0.0,0,418221,0.75,21,0.00,0,4.4,1,0,0.8,152,696,21,0,4.6,14,0.5,8,112.0,0.0,0,0.0,1.5,4,,n,43,0.73
540,Declan Rice,54,MID,Arsenal,4.3,41,,5,0.15,Rice,39,50,78,2,46,9,8.5,-1,2,,42,False,66,14166,0,0.74,122,76,333644,1.64,2023-09-24T22:30:08.321972Z,,3.3,1023,99.0,77,51.5,0.07,0,1.06,0,100.0,1,119,16695,0,73,8.84,100.0,0.08,0,450332,0.79,43,0.90,1,3.8,1,0,0.6,217,69,13,0,5.4,23,0.44,12,263.8,3.8,0,151.3,0.0,5,,a,80,0.78
578,Reiss Nelson,49,MID,Arsenal,1.7,399,,0,0.24,Nelson,203,149,298,1,5,0,1.0,-1,0,,143,False,374,150,0,0.14,244,522,5597,0.16,2023-08-07T15:30:06.067296Z,,0.7,61,10.0,156,5.3,0.21,0,0.0,0,100.0,0,348,187,0,177,0.56,100.0,0.03,0,6145,0.0,171,0.02,0,1.0,1,0,0.1,17,279,180,0,0.0,184,0.0,0,10.8,1.2,0,32.4,0.0,0,,a,419,0.83
585,Jurriën Timber,46,DEF,Arsenal,0.0,431,Knee injury - Unknown return date,0,0.02,J.Timber,238,145,639,0,0,0,0.0,-4,0,,230,False,439,59,0,0.01,347,239,11804,0.01,2023-08-12T18:00:07.121160Z,,0.0,49,0.0,48,0.6,0.02,1,1.84,0,0.0,0,674,589,0,239,0.28,0.0,0.0,0,475463,0.0,156,0.00,0,0.0,4,0,0.0,3,393,157,0,0.5,93,0.0,1,3.6,0.0,0,2.4,0.0,0,,i,690,0.51
646,Karl Hein,40,GKP,Arsenal,1.0,532,,0,0.0,Hein,68,52,449,0,0,0,0.0,0,0,,67,False,539,152,0,0.00,678,505,3610,0.00,,,0.0,0,0.0,59,0.0,0.0,0,0.0,0,,0,494,158,0,45,0.00,,0.0,0,2510,0.0,68,0.00,0,0.0,0,0,0.0,0,517,68,0,0.1,68,0.0,0,0.0,0.5,0,0.0,0.0,0,,a,544,0.0
735,Charles Sagoe,45,MID,Arsenal,2.2,667,,0,0.0,Sagoe,279,273,619,0,0,0,0.0,0,0,,243,False,673,118,0,0.00,444,732,118,0.00,,,0.0,0,0.0,259,0.0,0.0,0,0.0,0,,0,653,20,0,268,0.00,,0.0,0,20,0.0,276,0.00,0,0.0,0,0,0.0,0,662,272,0,0.0,312,0.0,0,0.0,1.7,0,0.0,0.0,0,,a,676,0.0
736,Reuell Walters,40,DEF,Arsenal,2.3,551,,0,0.0,Walters,206,207,469,0,0,0,0.0,0,0,,175,False,557,354,0,0.00,701,705,354,0.00,,,0.0,0,0.0,218,0.0,0.0,0,0.0,0,,0,513,49,0,200,0.00,,0.0,0,49,0.0,209,0.00,0,0.0,0,0,0.0,0,535,210,0,0.0,237,0.0,0,0.0,1.8,0,0.0,0.0,0,,a,562,0.0
737,Bradley Ibrahim,45,MID,Arsenal,2.2,674,,0,0.0,Ibrahim,281,277,629,0,0,0,0.0,0,0,,248,False,680,91,0,0.00,454,734,91,0.00,,,0.0,0,0.0,264,0.0,0.0,0,0.0,0,,0,661,15,0,272,0.00,,0.0,0,15,0.0,279,0.00,0,0.0,0,0,0.0,0,670,275,0,0.0,314,0.0,0,0.0,1.7,0,0.0,0.0,0,,a,682,0.0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,0.0,712,,0,0.0,Alex Moreno,239,240,680,0,0,0,0.0,0,0,,234,False,712,1780,0,0.00,173,430,11410,0.00,2023-09-24T22:30:06.810510Z,,0.0,0,0.0,21,0.0,0.0,0,0.0,0,100.0,0,705,586,0,240,0.00,100.0,0.0,0,9822,0.0,240,0.00,0,0.0,0,0,0.0,0,708,240,0,0.1,166,0.0,0,0.0,0.0,0,0.0,0.0,0,,a,712,0.0
34,Leon Bailey,55,MID,Aston Villa,3.0,126,,3,1.0,Bailey,41,66,104,4,38,7,6.9,0,3,4.0,52,False,93,1992,0,1.87,102,170,242976,3.80,2023-09-28T04:00:07.310756Z,,3.0,341,129.0,62,42.8,0.49,1,0.53,0,100.0,3,93,3203,0,57,6.81,100.0,0.51,0,233179,1.85,58,1.93,1,3.8,0,0,0.5,115,91,50,0,1.1,57,0.26,2,170.2,3.0,0,129.2,0.0,1,,a,82,1.8
35,Emiliano Buendía Stati,57,MID,Aston Villa,0.0,733,Knee injury - Expected back 10 Feb,0,0.0,Buendia,318,318,720,0,0,0,0.0,-3,0,,311,False,733,16,0,0.00,83,530,555,0.00,2023-08-10T11:00:05.686871Z,,0.0,0,0.0,51,0.0,0.0,0,0.0,0,0.0,0,733,47,0,318,0.00,0.0,0.0,0,16760,0.0,318,0.00,0,0.0,3,0,0.0,0,733,318,0,0.0,189,0.0,0,0.0,0.0,0,0.0,0.0,0,,i,732,0.0
36,Matty Cash,52,DEF,Aston Villa,2.3,55,Knock - 75% chance of playing,4,0.42,Cash,19,32,138,2,45,15,8.7,7,2,,48,False,46,34982,0,1.31,158,9,3426572,4.74,2023-11-22T11:00:09.382914Z,,2.3,1023,264.0,15,60.3,0.12,3,1.06,0,100.0,1,30,78009,0,1,14.56,75.0,0.3,1,865947,1.32,4,3.43,1,3.8,-7,0,0.4,202,143,17,0,33.5,2,0.26,12,245.4,1.7,0,92.4,0.0,3,,d,76,1.28
37,Calum Chambers,39,DEF,Aston Villa,0.0,460,,0,0.0,Chambers,157,158,367,0,0,0,0.0,-1,0,,116,False,466,1367,0,0.00,717,178,37650,0.00,,,0.0,0,0.0,227,0.0,0.0,0,0.0,0,,0,417,1679,0,148,0.00,,0.0,0,72140,0.0,160,0.00,0,0.0,1,0,0.0,0,442,161,0,1.0,69,0.0,0,0.0,0.0,0,0.0,0.0,0,,a,471,0.0
38,Philippe Coutinho Correia,58,MID,Aston Villa,0.0,429,Joined Al-Duhail on loan for the rest of the season,0,0.64,Coutinho,213,195,721,0,2,1,0.3,-2,0,,312,False,426,0,0,0.02,71,332,4781,0.17,2023-08-20T22:00:05.790965Z,,0.0,24,12.0,44,1.8,0.08,0,0.0,0,0.0,0,340,181,0,172,0.68,0.0,0.56,0,46883,3.75,197,0.15,0,1.0,2,0,0.0,7,390,198,0,0.2,99,0.0,0,4.0,0.0,0,2.8,0.0,0,,u,431,2.55
39,Keinan Davis,49,FWD,Aston Villa,0.0,704,Transferred to Udinese,0,0.0,Davis,85,85,672,0,0,0,0.0,-1,0,,76,False,706,0,0,0.00,252,375,4950,0.00,2023-09-03T20:12:01.415986Z,,0.0,0,0.0,52,0.0,0.0,0,0.0,0,0.0,0,698,184,0,84,0.00,0.0,0.0,0,22065,0.0,84,0.00,0,0.0,1,0,0.0,0,702,83,0,0.1,60,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,706,0.0
40,Leander Dendoncker,49,MID,Aston Villa,0.7,417,,0,0.0,Dendoncker,201,206,296,0,4,0,0.8,-1,0,,142,False,437,54,0,0.00,235,618,1018,0.00,2023-08-10T15:00:04.947940Z,,0.7,7,0.0,149,0.8,0.0,0,0.0,0,100.0,0,692,68,0,291,0.51,100.0,0.0,0,2288,0.0,203,0.00,0,1.0,1,0,0.1,10,411,190,0,0.0,241,0.0,0,7.4,0.7,0,0.8,0.0,0,,a,416,6.56
41,Diego Carlos Santos Silva,44,DEF,Aston Villa,0.5,294,Muscle injury - 75% chance of playing,0,0.13,Diego Carlos,120,125,277,0,8,6,1.8,-1,0,,95,False,315,73,0,0.03,494,276,18833,0.40,2023-11-10T02:00:09.636100Z,,0.7,273,45.0,98,11.5,0.01,0,0.99,0,75.0,0,210,1546,0,54,4.02,75.0,0.12,0,41048,1.98,114,0.37,0,1.1,1,0,0.2,47,354,115,0,0.3,109,0.0,3,56.8,0.5,0,13.5,0.0,0,,d,355,1.33
42,Lucas Digne,47,DEF,Aston Villa,1.7,71,,2,0.2,Digne,48,3,186,2,35,17,7.4,2,0,3.0,63,False,31,9509,0,2.29,315,65,784204,2.46,,,1.7,1070,76.0,38,67.3,0.19,4,1.01,0,,3,153,17690,0,24,15.26,,0.01,0,285544,1.43,2,0.17,1,2.9,-2,0,0.4,195,10,22,0,6.5,23,0.17,12,226.8,1.7,0,370.5,0.0,2,2.0,a,143,1.28
43,Douglas Luiz Soares de Paulo,56,MID,Aston Villa,3.7,14,,10,0.4,Douglas Luiz,13,24,70,2,60,17,10.7,1,5,1.0,37,False,26,42187,0,1.31,91,31,1314644,4.52,,1.0,3.7,1023,139.0,56,72.2,0.12,4,1.06,0,,1,76,57275,0,46,14.90,,0.28,0,382597,1.5,18,3.21,2,5.0,-1,0,0.7,270,30,6,0,11.9,12,0.18,12,337.4,3.7,0,245.7,0.0,2,1.0,a,22,1.31
44,Jhon Durán,50,FWD,Aston Villa,0.0,267,,3,0.98,Duran,25,47,694,0,15,0,3.0,0,2,,79,False,298,852,0,0.01,210,314,43250,0.74,2023-10-29T22:00:09.647546Z,,0.0,68,55.0,46,13.7,0.01,2,0.0,0,100.0,0,190,979,0,41,1.12,100.0,0.97,0,35325,0.0,40,0.73,0,2.5,0,0,0.0,55,350,32,0,0.2,50,0.0,0,72.6,0.0,0,14.2,0.0,0,,a,189,1.48
45,Kortney Hause,40,DEF,Aston Villa,0.0,493,,0,0.0,Hause,170,172,405,0,0,0,0.0,0,0,,133,False,500,274,0,0.00,631,321,9377,0.00,,,0.0,0,0.0,170,0.0,0.0,0,0.0,0,,0,454,454,0,163,0.00,,0.0,0,13399,0.0,174,0.00,0,0.0,0,0,0.0,0,478,174,0,0.2,125,0.0,0,0.0,0.0,0,0.0,0.0,0,,a,504,0.0
46,Tim Iroegbunam,44,MID,Aston Villa,0.0,609,,0,0.0,Iroegbunam,247,239,554,0,0,0,0.0,-1,0,,205,False,616,62,0,0.00,552,590,1071,0.00,2023-08-10T15:00:04.998490Z,,0.0,0,0.0,308,0.0,0.0,0,0.0,0,100.0,0,587,59,0,233,0.00,100.0,0.0,0,3073,0.0,243,0.00,0,0.0,1,0,0.0,0,601,238,0,0.0,223,0.0,0,0.0,0.0,0,0.0,0.0,0,,a,622,0.0
47,Boubacar Kamara,50,MID,Aston Villa,1.7,152,,1,0.06,Kamara,116,40,194,2,23,16,4.6,0,0,,89,False,121,346,0,0.55,200,379,11690,0.63,2023-09-30T23:00:07.886006Z,,1.7,1011,17.0,123,35.5,0.05,4,1.07,0,100.0,0,312,422,0,159,14.21,100.0,0.01,0,12576,1.42,67,0.08,0,1.9,0,0,0.3,150,51,60,0,0.1,122,0.27,12,145.6,1.7,0,190.9,0.0,3,,a,261,1.26
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,1.3,84,,2,0.08,Konsa,59,80,219,1,31,17,6.9,0,0,,73,False,131,4253,0,0.26,379,153,90283,0.96,,,1.3,1080,91.0,69,34.4,0.02,2,1.0,0,,1,125,3445,0,15,15.71,,0.06,0,69474,1.42,36,0.70,0,2.6,0,0,0.3,206,263,27,0,1.4,61,0.17,12,212.4,1.3,0,38.6,0.0,2,,a,175,1.31
49,Emiliano Martínez Romero,49,GKP,Aston Villa,1.3,59,,3,0.0,Martinez,17,80,227,3,30,16,6.1,-1,0,,20,False,211,8222,30,0.00,228,56,375938,0.00,2023-08-25T14:00:08.378829Z,,1.3,990,0.0,7,23.8,0.0,2,1.0,0,100.0,0,690,13620,0,79,14.98,100.0,0.0,1,456142,1.45,14,0.00,0,2.7,1,0,0.3,187,694,14,0,7.2,11,0.18,11,237.6,1.3,0,0.0,2.73,2,,a,169,1.36
50,John McGinn,55,MID,Aston Villa,6.7,68,Knock - 75% chance of playing,6,0.3,McGinn,28,21,12,10,51,15,9.3,0,3,2.0,8,False,43,8327,0,1.63,97,193,87415,3.43,2023-11-20T10:00:08.648383Z,,6.7,1017,137.0,59,62.7,0.14,2,1.06,0,,2,80,2703,0,49,13.36,75.0,0.16,0,60165,1.33,32,1.80,0,4.2,0,0,1.2,199,27,26,0,0.8,64,0.18,12,229.2,5.0,0,259.7,0.0,2,,d,50,1.18
51,Tyrone Mings,41,DEF,Aston Villa,0.0,430,Knee injury - Unknown return date,0,0.51,Mings,214,126,477,0,0,2,0.0,-4,0,,183,False,418,122,0,0.16,611,150,9419,0.17,2023-08-12T21:30:06.077936Z,,0.0,30,5.0,161,2.2,0.48,0,3.0,0,0.0,0,378,2559,0,134,1.08,0.0,0.03,0,1046875,6.0,149,0.01,0,0.0,4,0,0.0,5,355,156,0,1.4,60,0.0,1,3.6,0.0,0,13.0,0.0,0,,i,570,3.24
53,Robin Olsen,40,GKP,Aston Villa,0.0,393,,0,0.0,Olsen,25,34,399,0,2,1,0.5,0,0,,49,False,431,495,1,0.00,625,198,20192,0.00,,,0.0,90,0.0,41,1.2,0.0,0,1.0,0,,0,448,925,0,27,0.73,,0.0,0,36892,1.0,27,0.00,0,2.0,0,0,0.0,12,472,27,0,0.7,26,0.0,1,12.0,0.0,0,0.0,1.0,0,,a,233,0.73
54,Jaden Philogene-Bidace,45,MID,Aston Villa,0.0,447,Transferred to Hull City,0,0.0,Philogene,182,210,603,0,1,1,0.2,0,0,,232,False,445,0,0,0.00,428,474,3755,0.00,2023-09-02T08:48:12.680336Z,,0.0,3,2.0,248,0.3,0.0,0,0.0,0,0.0,0,398,109,0,199,0.65,0.0,0.0,0,13760,30.0,208,0.00,0,1.0,0,0,0.0,3,421,211,0,0.1,156,0.0,0,0.4,0.0,0,0.3,0.0,0,,u,390,19.5
